-1,-1 -1,-1 10,-1 3,-1 17,-1 -1,-1 14,-1 4,-1 28,-1 -1,-1 18,-1 16,-1 27,-1 -1,-1
-1,-1 3,9 0 0 0 -1,11 0 0 0 -1,22 0 0 0 17,-1
-1,16 0 0 0 0 3,19 0 0 0 3,30 0 0 0 0
-1,4 0 0 6,7 0 0 0 -1,10 0 0 0 6,16 0 0
-1,-1 -1,5 0 0 4,3 0 0 -1,5 0 0 4,12 0 0 -1,-1
-1,-1 6,-1 16,4 0 0 -1,-1 -1,-1 -1,-1 -1,-1 -1,3 0 0 22,-1 6,-1
-1,10 0 0 0 0 -1,-1 -1,-1 -1,-1 -1,-1 -1,11 0 0 0 0
-1,6 0 0 6,-1 4,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 4,-1 6,12 0 0
-1,13 0 0 0 0 -1,-1 -1,-1 -1,-1 -1,-1 6,14 0 0 0 0
-1,-1 -1,-1 14,3 0 0 4,-1 13,-1 -1,-1 12,6 0 0 0 12,-1 -1,-1
-1,-1 8,5 0 0 6,10 0 0 -1,3 0 0 6,3 0 0 3,-1
-1,3 0 0 4,6 0 0 0 3,6 0 0 0 10,3 0 0
-1,18 0 0 0 0 -1,9 0 0 0 -1,17 0 0 0 0
-1,-1 -1,6 0 0 0 -1,7 0 0 0 -1,7 0 0 0 -1,-1
